tag_id,tag_name,tag_type
744,cibex,general
812,copypasta,general
1537,fascist,general
1577,victoriana,general
2119,morningstar,general
2642,mikka,general
2688,kinya,general
2823,camellia,general
2980,awkward_moment,general
3201,apu,general
3230,slime_sex,general
3232,off_duty,general
3233,bodystocking,general
3271,maomao,general
3338,greenday,general
3888,o_rly,general
3927,bear_cavalry,general
4067,children,general
4357,retarded,general
4420,snowie,general
4456,mail_delivery,general
4516,trepidation,general
4687,cheez_whiz,general
4876,exterminatus,general
5034,inca,general
5104,luve,general
5148,hacky_sack,general
5188,shogi,general
5207,cooling_off,general
5399,candyland,general
5445,devilish,general
5483,oh_noes,general
5498,winterland,general
5511,eyes_only,general
5529,mockup,general
5604,orly,general
5616,electrical_plug,general
5964,mecha_musume,general
5965,moe_gijinka,general
6189,incoming,general
6197,urban_decay,general
6201,tentacle_hands,general
6246,woo_yay,general
6380,pedophile,general
6468,red_army,general
6619,remorse,general
6716,sorceror,general
6736,chaingun,general
7005,squick,general
7014,fanny,general
7091,retouched,general
7195,gaul,general
7213,insatiable,general
7229,yikes,general
7294,giftart,general
7345,tethered,general
7478,safety,general
7492,peeled,general
7509,fire_staffs,general
7580,skinhead,general
7585,flares,general
7613,smoke_weed_everyday,general
7681,dark_knight,general
7730,boob_tube,general
7739,salvage,general
7838,afterimages,general
7908,scorpio,general
8029,mail_box,general
8114,biting_social_commentary,general
8203,"100000",general
8255,shut_up,general
8321,gibbet,general
8439,redlining,general
8479,procrastination,general
8775,selection,general
8777,noticeboard,general
8853,seasoning,general
8997,"20000",general
9074,secret_admirer,general
9161,trade_secrets,general
9238,gig,general
9310,teller,general
9489,figurehead,general
9721,color_test,general
9780,occultism,general
9799,considering,general
9941,priorities,general
9945,savagery,general
10083,double_take,general
10088,ball_of_string,general
10166,schizophrenia,general
10287,rca,general
10308,descending,general
10359,chinatown,general
10375,"26",general
10431,mohican,general
10503,twine,general
10562,oh_fuck,general
10655,not_food,general
10700,afterbirth,general
10806,moon_well,general
10831,syringes,general
10843,pheonix,general
10871,butterface,general
10881,tragic,general
11019,transplant,general
11071,circles,general
11081,satisfaction,general
11122,new_orleans,general
11223,handful,general
11343,ballpoint,general
11367,body_wrap,general
11388,almost,general
11394,pueblo,general
